park_id,park_name,latitude,longitude,park_type,management_priority,acres,golf_availability,soccer_availability,memorial_availability,gym_availability,shade_area_availability,volleyball_availability,swimming_pool_availability,tennis_availability,playground_availability,baseball_availability,recreation_center_availability,basketball_availability,garden_center_availability,parking_lot_availability,facility_total,visits_2019,origin_breadth_2019,visits_per_acre_2019,visits_2020,origin_breadth_2020,visits_per_acre_2020,visits_2021,origin_breadth_2021,visits_per_acre_2021
park-stoney-ridge-neighborhood-park,Stoney Ridge Neighborhood Park,30.158064,-97.651615,Neighborhood,Active Park,4.01,None,None,None,None,None,None,None,None,Low,None,None,Low,None,Low,3,11.378278,74,2.837476,15.071398,80,3.758453,15.121184,78,3.770869
park-swede-hill-pocket-park,Swede Hill Pocket Park,30.27419,-97.72973,Pocket,Passive Park,0.8694,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,40.915867,117,47.062189,16.474586,62,18.949374,13.235186,55,15.223356
park-symphony-square,Symphony Square,30.27132,-97.73516,Special,Historical/Cultural,2.8708,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,1108.727143,606,386.208424,328.216147,323,114.329158,43.687108,90,15.217747
park-t-a-brown-neighborhood-park,T A Brown Neighborhood Park,30.344083,-97.709764,Neighborhood,Active Park,2.29,None,None,None,None,None,None,None,None,None,None,None,Low,None,None,1,61.812064,148,26.992168,22.999271,80,10.04335,14.980451,49,6.541682
park-tahoe-trail-pocket-park,Tahoe Trail Pocket Park,30.22364,-97.80255,Pocket,Special Use Area,0.308,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,18.726221,76,60.799419,14.851517,55,48.219211,7.384546,36,23.975799
park-tanglewood-neighborhood-park,Tanglewood Neighborhood Park,30.43165,-97.7819,Neighborhood,Mixed-use Park,14.1402,None,None,None,None,High,Low,None,None,Medium,None,None,Low,None,Low,15,30.938622,111,2.18799,53.423375,137,3.77812,79.419345,151,5.616564
park-tannehill-branch-greenbelt,Tannehill Branch Greenbelt,30.298955,-97.689309,Greenbelt,Natural Area,4.504,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,40.061627,114,8.894677,76.366733,159,16.955314,20.848961,71,4.628988
park-tarrytown-neighborhood-park,Tarrytown Neighborhood Park,30.29666,-97.75985,Neighborhood,Mixed-use Park,2.2502,None,None,Medium,None,None,None,None,None,Medium,None,None,None,None,None,8,35.017629,117,15.562007,43.703258,111,19.421944,57.781235,117,25.678266
park-the-barrington-at-park-place,The Barrington at Park Place,30.41048,-97.71638,District,Active Park,51.69,None,None,None,None,Low,Low,Low,None,Low,None,None,Low,None,Low,8,123.148113,225,2.382436,88.851249,167,1.718925,52.417722,120,1.014079
park-the-circle-greenbelt,The Circle Greenbelt,30.25114,-97.746651,Greenbelt,Corridor,1.208,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,175.859249,244,145.578849,126.850849,174,105.008981,102.581185,128,84.9182
park-tom-lasseter-south-lamar-neighborhood-park,Tom Lasseter South Lamar Neighborhood Park,30.24117,-97.77894,Neighborhood,Active Park,2.084,None,None,None,None,Low,None,None,None,Low,None,None,Low,None,Low,4,36.373842,107,17.453859,45.821635,96,21.987349,40.420601,88,19.395682
park-trailhead-neighborhood-park,Trailhead Neighborhood Park,30.438234,-97.821103,Neighborhood,Active Park,13.6382,None,Low,None,None,Low,None,None,None,Low,None,None,Low,None,Low,6,110.314047,220,8.088608,178.549867,259,13.091894,143.896918,213,10.55102
park-triangle-commons-neighborhood-park,Triangle Commons Neighborhood Park,30.314353,-97.733558,Neighborhood,Mixed-use Park,6.05,None,None,None,None,None,None,None,None,Low,None,None,None,None,None,1,1158.383441,756,191.468337,557.014864,435,92.068573,351.404072,322,58.083318
park-upper-bull-creek-greenbelt,Upper Bull Creek Greenbelt,30.41696,-97.79339,Greenbelt,Corridor,178.2467,None,None,None,None,None,None,None,None,None,None,None,None,None,Low,1,761.934208,1963,4.274605,950.902226,2244,5.334754,2467.122055,926,13.841053
park-veterans-pocket-park,Veterans Pocket Park,30.276322,-97.771534,Pocket,Special Use Area,0.673619,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,335.393543,360,497.897985,128.77718,210,191.172131,190.948822,226,283.467096
park-waller-creek-greenbelt,Waller Creek Greenbelt,30.265892,-97.735824,Greenbelt,Corridor,7.2496,None,None,None,None,None,None,None,None,None,None,None,None,None,Medium,3,733.68073,560,101.202926,271.289101,243,37.421251,332.816595,291,45.90827
park-walnut-creek-greenbelt,Walnut Creek Greenbelt,30.40961,-97.70806,Greenbelt,Corridor,713.777,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,12.655407,67,0.01773,8.140584,47,0.011405,9.781202,52,0.013703
